StationID,Richness,Shannon Diversity Index,% Intolerant Mayfly (PTV) 0-4,% Dominant Taxon,Riffle Frequency,Riparian Vegetative Zone,Total Habitat Score,Total Watershed Area (sq miles)
20160106-1105-ablascovic,21,2.374589,7.04225352,24.88263,9,9,124,1.60593335
20160106-1130-ablascovic,26,2.512941,40,20,12,15,145,1.06662608
20160107-1130-tdaley,8,0.532328,0,88.29268,16,6,154,3.07495494
20160107-1220-tdaley,9,1.423376,0,48.16514,16,11,159,2.78462554
20160107-1030-tdaley,15,2.066689,6.27615063,28.03347,16,11,161,5.4849842
20160104-1130-ablascovic,20,1.565315,0.86956522,48.26087,15,6,163,2.09537558
20160104-1110-ablascovic,23,2.003783,8.75,50,16,14,179,7.48601585
20160127-1550-tdaley,30,2.271266,10.25641026,43.16239,18,15,184,2.20709417
20160106-0945-ablascovic,16,1.576208,0.93023256,48.83721,14,16,185,4.29395617
20160127-1245-tdaley,34,1.993965,12.08333333,44.58333,11,19,190,11.45072367
20160129-1540-tdaley,29,2.766612,39.26940639,19.17808,19,15,192,2.71060979
20160129-1450-tdaley,32,2.57246,43.58974359,30.34188,18,14,193,5.14878599
20160115-1620-tdaley,26,2.425073,1.33928571,19.64286,13,20,194,2.0065914
20160129-1305-tdaley,26,2.145781,26.16033755,28.27004,19,19,196,2.30421812
20160127-1025-tdaley,23,2.42057,11.94029851,24.37811,20,15,198,14.95986947
20160127-1450-tdaley,31,2.686777,25.75107296,23.60515,19,15,203,2.22186256
20160128-1420-tdaley,39,2.970855,25.52301255,19.66527,18,20,209,2.48300266
20160127-1130-tdaley,35,3.164952,34.61538462,13.94231,19,17,211,16.81790819
20160115-1435-tdaley,19,1.846129,15.34653465,52.9703,19,20,222,11.08325097
20160209-1550-tdaley,34,2.739166,7.79220779,21.21212,16,11,172,2.88192324
20160201-1410-tdaley,31,2.346551,20.37037037,37.5,18,17,180,2.76794593
20160223-1000-gkenderes,19,1.889513,0,39.30131,16,16,180,4.75785772
20160202-1405-tdaley,28,2.63378,23.80952381,21.42857,18,15,184,1.59915726
20160201-1205-tdaley,28,2.168046,8.10810811,43.69369,15,14,185,3.39812231
20160202-1540-tdaley,20,1.839328,2.77777778,39.35185,15,18,186,1.53018014
20160223-0900-gkenderes,19,1.911807,0.50761421,49.23858,14,18,191,3.83561448
20160209-1340-tdaley,28,2.672236,11.68224299,22.42991,19,12,192,14.57693345
20160209-1435-tdaley,34,2.729741,28.44827586,18.10345,19,16,193,5.6653326
20160201-1310-tdaley,33,2.622852,16.74208145,28.50679,19,15,194,1.8052199
20160202-1035-tdaley,35,2.710026,23.30508475,22.45763,19,16,195,6.3566675
20160229-1410-tdaley,30,2.429472,0.99009901,22.77228,17,16,200,1.39795951
20160229-1125-tdaley,25,2.353315,17.78846154,23.55769,19,16,203,1.50550823
20160229-1310-tdaley,20,1.746207,1.70940171,43.16239,18,17,204,9.29766444
20160208-1520-tdaley,35,2.719708,19.39655172,29.31034,19,16,204,14.93710878
20160201-1555-tdaley,28,2.040369,8.55855856,50,18,19,206,3.08016734
20160222-1555-tdaley,16,2.076869,2.47524752,31.18812,19,18,208,4.31028829
20160222-1340-tdaley,22,1.942964,3.21100917,37.61468,19,18,209,2.71391093
20160229-1250-tdaley,35,3.013495,13.70558376,13.19797,19,18,212,3.83874191
20160208-1415-tdaley,17,1.846818,0,33.49057,19,19,214,3.31263933
20160202-1225-tdaley,28,2.505294,30.63829787,30.21277,20,19,219,3.70877997
20160202-1155-tdaley,29,2.292732,27.39726027,39.72603,20,19,219,3.7179885
20160222-1505-tdaley,17,1.708847,2.8436019,39.33649,19,19,220,9.08256693
20160222-1445-tdaley,18,1.545599,1.41509434,50,19,19,220,9.09994154
20160308-1435-tdaley,20,2.004621,4.44444444,41.77778,8,8,128,1.1468967
20160310-0945-drebuck,21,1.397039,4.73933649,69.19431,13,16,152,3.83856813
20160308-1350-tdaley,31,2.765,8.75576037,16.12903,16,12,157,1.10589265
20160308-0930-smeans,22,2.61772,25.83732057,15.78947,19,14,159,1.25305543
20160331-0915-ablascovic,21,2.203256,6.40394089,41.87192,16,8,159,17.98096317
20160329-1325-drebuck,28,2.825504,35.56485356,18.82845,15,7,161,7.6932947
20160331-1100-ablascovic,30,2.716053,23.40425532,20.85106,16,10,162,5.9565307
20160331-1100-gkenderes,23,1.856272,4.68085106,45.10638,13,11,170,1.7310304
20160329-0945-drebuck,34,2.740174,12.71929825,24.5614,13,15,170,1.99964156
20160311-1200-smeans,27,2.510704,9.85221675,24.63054,17,10,170,2.76794594
20160331-1015-ablascovic,23,2.235706,7.6142132,31.9797,14,12,171,10.09793796
20160325-1510-tdaley,26,2.504285,22.88557214,28.35821,18,15,180,4.58359059
20160307-1330-smeans,33,2.665963,31.10047847,19.13876,18,12,184,12.1728115
20160309-1330-smeans,30,2.785831,30.72625698,16.20112,20,14,189,3.79026681
20160330-1030-jbrancato,21,2.455612,40.60913706,22.84264,16,16,190,24.26205124
20160329-1330-smeans,30,2.736034,24.55357143,19.19643,17,15,191,3.99354952
20160329-1545-tdaley,10,1.139415,0,62.5,18,16,194,4.74517427
20160308-1555-tdaley,32,2.651802,26.58227848,24.47257,19,12,194,13.21615562
20160325-0940-tdaley,18,1.964406,36.44859813,29.90654,19,20,195,2.69584138
20160309-0935-tdaley,27,2.287865,7.33944954,32.11009,18,16,196,6.85879314
20160331-0945-ablascovic,22,2.532165,20.09569378,22.96651,18,15,198,1.03900048
20160308-1030-smeans,33,2.695347,55.34883721,25.5814,18,14,198,7.30723131
20160310-1030-smeans,26,2.356979,1.88679245,22.16981,17,20,200,1.60749707
20160310-1300-gkenderes,19,2.19667,0,30.12552,18,18,200,8.0135084
20160330-1130-smeans,28,2.75185,30.23255814,16.27907,20,18,201,3.34182863
20160330-1200-jbrancato,20,1.943765,63.54679803,47.29064,17,20,204,7.48410464
20160309-1200-smeans,35,2.865869,33.17073171,17.07317,18,20,205,2.92813966
20160325-1050-tdaley,22,2.464603,24.47916667,19.27083,19,20,205,4.52104206
20160329-1500-tdaley,31,2.492947,17.20930233,26.51163,20,19,209,5.03220253
20160329-1030-smeans,21,2.392665,38.0952381,25.97403,18,17,211,2.21560772
20160301-1155-tdaley,26,2.332388,11.81818182,30.45455,17,17,211,3.87453357
20160309-1510-tdaley,27,2.146995,21.10091743,33.48624,19,18,212,4.22532654
20160309-1115-tdaley,35,2.292582,15.15151515,48.05195,19,18,212,16.86325576
20160330-1030-smeans,27,2.801694,33.92857143,12.05357,20,20,215,6.33807669
20160329-1300-smeans,31,2.75836,24.74226804,18.5567,19,20,216,4.42808801
20160329-1145-drebuck,32,2.896719,38.62660944,16.30901,19,19,222,1.00859495
20160301-1455-tdaley,35,2.847311,25,22.32143,19,19,223,18.0150174
20160421-1145-rspear,2,0.031087,0,99.50739,11,1,87,10.27845997
20160421-1120-rspear,8,0.447457,0,91.14583,13,1,96,5.86218668
20160421-0900-rspear,7,0.473176,0,89.69957,15,1,98,19.03108344
20160421-0830-rspear,4,0.665381,0,69.84127,14,2,100,19.33635502
20160425-0945-rspear,6,0.38481,0,91.70306,10,1,102,1.35469678
20160421-1045-rspear,5,0.151472,0,97.47475,12,2,104,13.01130922
20160421-1230-rspear,8,0.350475,0,93.58289,14,1,106,3.20787055
20160425-0900-rspear,4,0.322132,0,93.01075,14,3,120,1.37241886
20160421-1015-rspear,3,0.059923,0,99.0566,16,1,120,11.49607122
20160425-0930-gkenderes,5,0.46722,0,87.43455,13,3,121,8.79484374
20160420-1110-EPA,15,1.73367,9.56937799,46.41148,15,2,137,2.69167148
20160420-0940-EPA,20,1.622989,2.94117647,60.5042,11,5,139,2.76221232
20160420-1015-EPA,16,1.214278,5.91133005,74.38424,15,5,141,2.0746998
20160425-1100-gkenderes,2,0.477899,0,81.56682,16,10,145,2.55667092
20160419-1420-EPA,23,2.047925,12.38095238,37.61905,14,6,146,3.72997697
20160421-1130-EPA,27,2.737079,29.95391705,15.6682,12,8,149,3.51522705
20160425-1015-gkenderes,5,0.611395,0,82.44681,12,11,153,1.17660723
20160421-0930-rspear,3,0.079591,0,98.66071,15,12,155,14.23691282
20160428-1215-jbrancato,21,2.367488,37.39130435,25.21739,16,13,159,1.72894546
20160420-1330-EPA,26,1.888912,8.59728507,56.56109,15,4,159,2.60201859
20160421-1220-EPA,22,2.249848,17.47572816,35.92233,9,11,160,5.23687516
20160419-1300-EPA,24,2.055292,19.38325991,48.01762,16,5,167,1.03118191
20160419-1230-EPA,22,1.89536,21.83406114,53.71179,16,3,168,24.99439019
20160419-1045-EPA,28,2.417416,22.22222222,29.48718,12,11,169,2.31950776
20160420-1400-EPA,20,1.175639,6.78733032,75.56561,15,10,173,18.32706522
20160420-1401-EPA,17,1.504981,8.37004405,59.03084,15,10,173,18.32706522
20160419-1348-EPA,22,2.050688,9.5890411,33.78995,16,11,175,2.59211498
20160419-1330-kbardell,38,3.068196,32.09302326,16.27907,15,14,175,3.41428068
20160408-0855-drebuck,29,2.649218,20.62780269,32.73543,13,14,176,4.37440055
20160420-1100-josecocco,5,0.882245,0,74.35897,16,9,177,5.76332525
20160420-1215-EPA,16,1.093796,3.10880829,73.57513,17,13,182,1.97896581
20160419-1100-kbardell,33,2.906465,31.2195122,17.07317,16,12,182,10.99950545
20160405-1015-drebuck,27,2.801091,17.9916318,16.7364,16,19,184,1.15992763
20160420-1040-EPA,20,1.489402,4.16666667,65.27778,17,8,185,1.97010476
20160426-1130-jbrancato,22,2.360123,11.17647059,26.47059,14,20,189,1.03917423
20160426-1030-jbrancato,13,1.375883,3.57142857,58.16327,15,20,190,3.16165415
20160408-1310-drebuck,33,2.848615,34.56221198,20.2765,17,19,190,10.49129867
20160414-1215-jeremmille,32,2.794913,49.52830189,17.45283,17,15,191,4.08354989
20160405-1345-drebuck,38,2.882746,35.16949153,18.64407,14,19,192,2.21595521
20160420-0945-rspear,15,1.809277,1.8957346,45.97156,18,15,192,6.58688081
20160420-1240-EPA,24,1.716807,13.94230769,62.98077,16,16,193,3.23410619
20160408-1105-drebuck,42,3.165038,38.76651982,13.65639,17,16,194,3.16651903
20160427-1120-tdaley,34,2.5643,35.74660633,27.14932,18,15,194,8.74115616
20160411-1350-drebuck,39,3.075349,21.12676056,22.53521,17,16,195,3.1698202
20160421-1230-josecocco,31,2.787961,24.61538462,23.07692,17,18,199,1.62400293
20160412-1000-smeans,29,2.447105,55.85585586,32.88288,19,13,199,1.63633889
20160418-1230-josecocco,33,2.807138,20.36199095,23.07692,19,18,200,9.87849689
20160420-1400-josecocco,25,2.499074,8.77192982,28.94737,19,12,201,2.14280819
20160406-1330-gkenderes,12,1.663852,2.94117647,36.27451,20,19,204,1.84153279
20160428-1300-smeans,31,2.878544,29.95169082,14.00966,17,17,204,12.41188583
20160412-1100-smeans,28,2.662892,38.63636364,21.36364,19,13,205,5.08154633
20160420-0930-jeremmille,25,2.790836,25.45454545,13.33333,18,19,208,2.42236534
20160414-1045-jeremmille,28,2.586224,29.03225806,22.58065,18,16,208,4.55857118
20160420-1015-jeremmille,28,2.686431,38.37209302,22.09302,17,19,210,4.14071229
20160428-1130-smeans,31,2.769748,16.01941748,15.53398,17,20,210,5.61129758
20160418-1100-josecocco,25,2.564104,20.67307692,23.55769,20,19,210,9.68789764
20160414-0930-jeremmille,30,2.657885,19.91341991,27.27273,19,15,211,3.1206501
20160412-1130-smeans,25,2.225847,59.36073059,36.52968,18,19,211,24.44500558
20160428-1045-smeans,35,2.807312,18.10344828,28.87931,18,20,212,3.24279348
20160426-1230-jbrancato,24,2.683194,15.94202899,16.42512,17,20,212,3.42088303
20160421-1100-jeremmille,29,2.261577,10.45454545,43.18182,18,20,214,3.14097835
20160420-1115-jeremmille,31,2.855719,37.78801843,17.97235,18,19,218,3.54024646
20160420-1100-jeremmille,33,2.933653,36.01694915,17.37288,18,19,218,3.64588397
20160408-1100-jbutt,36,2.866328,55.69620253,25.7384,20,20,225,6.01299811
20160504-1005-drebuck,10,0.862045,4.31034483,80.60345,14,8,141,1.4240214
20160505-1125-drebuck,17,2.121507,0,25.64103,9,11,148,2.63051291
20160505-0910-drebuck,18,1.897888,0,41.66667,12,9,150,2.76116984
20160518-1315-jaygerber,24,2.407264,30.11363636,19.88636,8,18,156,14.83598863
20160525-1100-jbrancato,30,2.64714,21.71717172,24.24242,16,11,158,1.81321221
20160505-1415-drebuck,17,1.837522,1.25523013,41.841,13,12,162,2.39195981
20160505-1100-smeans,14,2.017137,10.69767442,28.37209,17,12,163,1.37398258
20160518-1045-jaygerber,34,2.713167,39.83050847,25,11,18,171,21.5603026
20160525-1000-jbrancato,20,2.586473,44.69026549,18.58407,18,11,172,1.52079786
20160525-1145-jbrancato,24,2.702677,38,14,16,13,173,3.54094141
20160510-1030-smeans,28,2.588422,48.1981982,27.02703,17,15,178,2.58794519
20160503-1045-rspear,17,1.237868,1.68539326,69.66292,16,12,185,7.09873621
20160518-1215-jaygerber,24,2.437703,29.16666667,19.64286,15,16,186,15.01355691
20160524-0915-jbrancato,28,2.451536,61.61137441,35.07109,16,14,186,18.97895966
20160518-1130-jaygerber,29,2.619986,34.04255319,21.2766,13,18,188,15.30545005
20160524-1200-jbrancato,22,2.565368,58.33333333,16.66667,16,17,194,4.75612027
20160525-0915-rspear,24,2.28441,25.12820513,31.79487,18,17,195,1.3029205
20160510-0945-smeans,33,2.795265,33.77192982,17.98246,18,12,195,1.9979041
20160524-1100-jbrancato,26,2.65231,30.20833333,22.39583,15,20,200,6.04809478
20160518-1030-rspear,19,2.359355,5.20231214,28.90173,19,15,202,2.07469979
20160509-1300-smeans,30,2.599647,40.969163,23.34802,18,19,202,13.05874187
20160509-1100-smeans,28,2.65901,22.42990654,20.09346,19,15,208,2.1568816
20160514-1200-smeans,30,2.844605,23.58974359,15.38462,19,16,209,2.12630232
20160505-1245-smeans,36,2.921605,32.55813953,18.13953,20,17,209,3.9832985
