Dolphin sample #,Site,PCB (ppm),BDE (ppm),Chlordane (ppm),DDT (ppm)
1,Beaufort,29333.24,1173.42,2170.37,11225.14
2,Beaufort,33380.44,1345.42,2760.91,24201.61
3,Beaufort,56152.9,1575.29,2235.6,18065.42
4,Beaufort,20779.5,713.82,1671.72,12348.91
5,Sarasota,23562.6,1105.02,6546.23,10645.76
6,Sarasota,39873.91,1080.76,10957.37,19836.01
7,Sarasota,17018.68,831.00,5237.69,6824.39
8,Sarasota,14699.23,952.03,7018.07,12163.05
9,Sarasota,23767.45,1146.24,6859.49,11297.48
10,Sarasota,46768.23,2000.74,11166.56,19335.62
11,Beaufort,33251.92,1386.98,1300.06,22476.12
12,Beaufort,62843.69,1385.88,2850.69,23920.66
13,Beaufort,36499.08,1489.46,1530,13583.03
14,Sarasota,83878.55,2027.25,24901.83,33668.24
15,Sarasota,85202.59,3026.58,19463.96,30827.58
16,Sarasota,49450.29,1853.92,13420.36,26439.01
17,Sarasota,21356.11,1237.51,5495,11286.45
18,Sarasota,18717.88,1184.3,9209.98,11753.14
19,Sarasota,30055.27,1012.2,7028.8,11960.3
20,Sapelo,94799.3,2012.06,4276.07,10375.61
21,Sapelo,35237.27,1000.59,698.64,2595.44
22,Sapelo,218091,8187.64,8458.14,17857.31
23,Sapelo,10426.13,136.79,197.25,554.88
24,Sapelo,757624.43,10551.22,5874.3,17400.82
25,Sapelo,72680.72,4164.67,1513.85,5504.33
26,Sapelo,199558.7,8701.54,4228.14,14215.24
27,Sapelo,245050.73,6633.67,5413.27,25304.05
28,Sapelo,299769.99,5510.02,14131.56,32681.15
29,Sapelo,254201.69,3914.81,10306.09,22699.44
30,Sapelo,81894.38,2108.78,1881.69,7450.64
31,Sapelo,29471.19,812.30,860.00,2821.53
32,Brunswick,404970.49,7646.34,7749.11,20131.74
33,Brunswick,117876.43,11099.31,1863.15,6459.03
34,Brunswick,299120.01,13080.54,4802.73,15043.55
35,Brunswick,111219.67,2687.86,932.27,3888.86
36,Brunswick,148477.51,4492.71,2843.92,9285.41
37,Brunswick,218881.53,2833.13,1363.4,4877.31
38,Brunswick,537531.41,8314.07,10160.13,37588.31
39,Brunswick,158523.59,4851.06,3030.19,11050.98
40,Brunswick,181401.33,11742.72,3523.47,14989.95
41,Brunswick,190588.64,2913.43,2456.64,8110.72
