Location,Year,Seafood Species,Consumption Recommendation,PCB Presence,Mercury Presence
Lower Turtle & South Brunswick River,2010,Black Drum,1 Meal / Week,Y,N
Lower Turtle & South Brunswick River,2010,Blue Crab,1 Meal / Week,N,Y
Lower Turtle & South Brunswick River,2010,Red Drum,1 Meal / Week,Y,N
Lower Turtle & South Brunswick River,2010,Shrimp,No Restrictions,N,N
Lower Turtle & South Brunswick River,2010,Spotted Seatrout,1 Meal / Week,Y,Y
Lower Turtle & South Brunswick River,2023,Black Drum,No Restrictions,N,N
Lower Turtle & South Brunswick River,2023,Blue Crab,No Restrictions,N,N
Lower Turtle & South Brunswick River,2023,Red Drum,No Restrictions,N,N
Lower Turtle & South Brunswick River,2023,Shrimp,No Restrictions,N,N
Lower Turtle & South Brunswick River,2023,Spotted Seatrout,1 Meal / Week,N,Y
Lower Turtle & South Brunswick River,1996,Black Drum,1 Meal / Mo,Y,Y
Lower Turtle & South Brunswick River,1996,Blue Crab,1 Meal / Week,Y,Y
Lower Turtle & South Brunswick River,1996,Red Drum,No Restrictions,N,N
Lower Turtle & South Brunswick River,1996,Shrimp,No Restrictions,N,N
Lower Turtle & South Brunswick River,1996,Spotted Seatrout,1 Meal / Mo,Y,Y
Middle Turtle River,1996,Black Drum,Do Not Eat,Y,Y
Middle Turtle River,1996,Blue Crab,1 Meal / Week,Y,Y
Middle Turtle River,1996,Red Drum,1 Meal / Week,Y,Y
Middle Turtle River,1996,Shrimp,No Restrictions,N,N
Middle Turtle River,1996,Spotted Seatrout,1 Meal / Mo,Y,Y
Middle Turtle River,2010,Black Drum,1 Meal / Mo,Y,Y
Middle Turtle River,2010,Blue Crab,1 Meal / Mo,Y,Y
Middle Turtle River,2010,Red Drum,1 Meal / Week,Y,Y
Middle Turtle River,2010,Shrimp,No Restrictions,N,N
Middle Turtle River,2010,Spotted Seatrout,1 Meal / Mo,Y,Y
Middle Turtle River,2023,Black Drum,1 Meal / Week,Y,N
Middle Turtle River,2023,Blue Crab,1 Meal / Week,N,Y
Middle Turtle River,2023,Red Drum,1 Meal / Week,N,Y
Middle Turtle River,2023,Shrimp,No Restrictions,N,N
Middle Turtle River,2023,Spotted Seatrout,1 Meal / Week,Y,Y
Purvis and Gibson Creek,1996,Black Drum,Do Not Eat,Y,Y
Purvis and Gibson Creek,1996,Blue Crab,Do Not Eat,Y,Y
Purvis and Gibson Creek,1996,Red Drum,Do Not Eat,Y,Y
Purvis and Gibson Creek,1996,Shrimp,Do Not Eat,Y,Y
Purvis and Gibson Creek,1996,Spotted Seatrout,Do Not Eat,Y,Y
Purvis and Gibson Creek,2023,Black Drum,1 Meal / Week,Y,N
Purvis and Gibson Creek,2023,Blue Crab,1 Meal / Week,N,Y
Purvis and Gibson Creek,2023,Red Drum,1 Meal / Week,Y,N
Purvis and Gibson Creek,2023,Shrimp,No Restrictions,N,N
Purvis and Gibson Creek,2023,Spotted Seatrout,1 Meal / Mo,Y,Y
Purvis and Gibson Creek,2010,Black Drum,1 Meal / Week,Y,Y
Purvis and Gibson Creek,2010,Blue Crab,1 Meal / Mo,Y,Y
Purvis and Gibson Creek,2010,Red Drum,1 Meal / Week,Y,Y
Purvis and Gibson Creek,2010,Shrimp,1 Meal / Mo,Y,N
Purvis and Gibson Creek,2010,Spotted Seatrout,1 Meal / Mo,Y,Y
