Date,Numeric Day,Site,DO (mg/L),Air Temp (C),pH,Conductivity (µs/cm),Salinity (ppt),Water Temp (C)
5/15,136,Brunswick Wood Preserving Co.,6,28.9,6.9,,2.74,26.7
5/29,150,Brunswick Wood Preserving Co.,5.27,29.4,7.22,20178,11.43,27.7
6/12,164,Brunswick Wood Preserving Co.,7.31,28.8,7.08,26367,16.08,28.5
6/26,178,Brunswick Wood Preserving Co.,4.56,33.3,7.37,38358,24.3,29
7/10,192,Brunswick Wood Preserving Co.,3.3,31,7.3,29232,18.48,29.9
7/24,206,Brunswick Wood Preserving Co.,3.63,31.67,7.44,,29,31.3
5/15,136,Hercules 009 Landfill,3.61,27.8,7.17,,21.64,25.7
5/29,150,Hercules 009 Landfill,3.51,31.1,7.26,34817,20.52,28
6/12,164,Hercules 009 Landfill,3.63,28.8,7.3,47279,28.04,29.3
6/26,178,Hercules 009 Landfill,3.52,33.3,7.42,40326,25.64,29.1
7/10,192,Hercules 009 Landfill,3.1,30.6,7.43,43792,28.06,30.4
7/24,206,Hercules 009 Landfill,3.02,31.11,7.5,,29.75,30.7
5/15,136,LCP Chemicals,4.2,27,7.5,,23.81,37
5/29,150,LCP Chemicals,3.4,27.2,7.5,,24.8,31
6/12,164,LCP Chemicals,5.65,28.8,7.63,51700,29.4,31.5
6/26,178,LCP Chemicals,5.2,32,7.6,43950,24.38,32.4
7/10,192,LCP Chemicals,3.85,31,7.49,37905,23.93,32.6
7/24,206,LCP Chemicals,4.43,30,7.3,48770,28.14,30.7
5/15,136,Terry Creek Dredge Spoil/ Hercules Outfall,5.2,27.7,7.51,,24.34,28.1
5/29,150,Terry Creek Dredge Spoil/ Hercules Outfall,3.09,27.78,7.23,41075,24.44,28.4
6/12,164,Terry Creek Dredge Spoil/ Hercules Outfall,3.33,28.9,7.2,48133,28.73,29.1
6/26,178,Terry Creek Dredge Spoil/ Hercules Outfall,2.78,31.1,7.3,38528,24.37,29.6
7/10,192,Terry Creek Dredge Spoil/ Hercules Outfall,2.41,31,7.25,44256,28.44,31.3
7/24,206,Terry Creek Dredge Spoil/ Hercules Outfall,2.48,30,7.7,,29.71,30.9
5/15,136,Brunswick Marina,5.2,27,8.13,,23.54,35
5/29,150,Brunswick Marina,2.8,28.3,7.5,,26.3,30
6/12,164,Brunswick Marina,4.3,29,7.55,48850,28.08,31
6/26,178,Brunswick Marina,6.6,33,7.89,47390,26.65,32.5
7/10,192,Brunswick Marina,2.18,31,7.46,12920,27.45,31.4
7/24,206,Brunswick Marina,4.6,30,7.75,48250,27.25,30.9
5/15,136,East River,3.35,27,7.5,,17.27,35
5/29,150,East River,4.9,28.3,7.45,,22,28
6/12,164,East River,4.81,29,7.35,42810,25.05,29.1
6/26,178,East River,4.3,33,7.42,45560,26.7,29.7
7/10,192,East River,5.3,31,7.61,39531,25.08,30.1
7/24,206,East River,3.95,30,7.51,44360,25.31,30.9
